Name,Strain,Nomenclatural status,Taxonomic status,,Clade,,,
Leptospira abarensis Korba et al. 2021,201903074; CIP111914; KIT0299,validly published,correct name,,S1,,,
Leptospira adleri Thibeaux et al. 2020,CIP 111808; DSM 110446; FH2-­B-­D1; KIT0280,validly published,correct name,,P1,low-virulent,,
Leptospira ainazelensis Korba et al. 2021,201903071; CIP111913; KIT0298,validly published,correct name,,P1,,,
Leptospira ainlahdjerensis Korba et al. 2021,201903070; CIP111912; KIT0297,validly published,correct name,,P1,,,
Leptospira alexanderi Brenner et al. 1999,ATCC 700520; DSM 21535; L 60; serovar Manhao 3,validly published,correct name,,P1,,,
Leptospira alstonii Smythe et al. 2013,79601; ATCC BAA-2439; serovar Sichuan,validly published,correct name,,P1,,P1,19
Leptospira andrefontaineae Vincent et al. 2020,CIP 111782; DSM 110479; KIT0269; PZF11-2,validly published,correct name,,P2,,P2,20
Leptospira bandrabouensis Vincent et al. 2020,CIP 111771; DSM 110447; KIT0288; M10A,validly published,correct name,,S1,,Total,39
Leptospira barantonii Thibeaux et al. 2020,CIP 111788; DSM 110483; FH4-­C-­A1; KIT0279,validly published,correct name,,P1,,,
Leptospira biflexa (Wolbach and Binger 1914) Noguchi 1918 (Approved Lists 1980),ATCC 23582; Leptospira biflexa serovar Patoc strain Patoc I; Patoc 1; Patoc I,validly published,correct name,,S1,,S1,22
Leptospira borgpetersenii Yasuda et al. 1987,ATCC 43292; DSM 21538; Veldrat Bataviae 46,validly published,correct name,,P1,,S2,6
Leptospira bourretii Vincent et al. 2020,CIP 111772; DSM 110449; KIT0292; PZF7-6,validly published,correct name,,S1,,Total,28
Leptospira bouyouniensis Vincent et al. 2020,CIP 111773; DSM 110359; KIT0286; M1A,validly published,correct name,,S1,,,
Leptospira brenneri Thibeaux et al. 2020,CIP 111787; DSM 110362; JW2-­C-­A2; KIT0294,validly published,correct name,,S2,,Total species,67
"""Leptospira brihuegai"" Grune Loffler et al. 2015",,not validly published,,,,,,
Leptospira broomii Levett et al. 2006,5399; ATCC BAA-1107; DSM 21534; KIT 5399,validly published,correct name,,P2,,,
Leptospira chreensis Korba et al. 2021,201903075; CIP111915; KIT0300,validly published,correct name,,S1,,,
Leptospira congkakensis Vincent et al. 2020,CIP 111774; DSM 108409; KIT0284; SCS9,validly published,correct name,,S1,,,
Leptospira dzianensis Vincent et al. 2020,CIP 111775; DSM 110482; KIT0277; M12A,validly published,correct name,,,now L. yasudae per Casanovas-Massana 2021,,
Leptospira dzoumogneensis Vincent et al. 2020,CIP 111780; DSM 110478; KIT0266; M11A,validly published,correct name,,P2,,,
Leptospira ellinghausenii Masuzawa et al. 2019,CIP 111618; E18; JCM 32516,validly published,correct name,,S1,,,
Leptospira ellisii Thibeaux et al. 2020,AT17-­C-­A5; CIP 111789; DSM 110358; KIT0281,validly published,correct name,,P1,,,
Leptospira fainei Perolat et al. 1998,ATCC BAA-1109; BUT 6; DSM 22303,validly published,correct name,,P2,,,
Leptospira fletcheri Vincent et al. 2020,CIP 111761; KIT0264; SSW15,validly published,correct name,,P2,,,
Leptospira fluminis V incent et al 2020,SCS5,not validly published,,,,P2,,
Leptospira gomenensis Vincent et al. 2020,CIP 111762; KG8-­B22; KIT0278,validly published,correct name,,P1,low-virulent,,
Leptospira haakeii Thibeaux et al. 2020,AT17-­C-­A4; CIP 111781; DSM 110481; KIT0273,validly published,correct name,,P2,,,
Leptospira harrisiae Thibeaux et al. 2020,CIP 111786; DSM 110450; FH2-­B-­A1; KIT0295,validly published,correct name,,S1,,,
Leptospira hartskeerlii Thibeaux et al. 2020,CIP 111790; DSM 110480; KIT0270; MCA2-­B-­A3,validly published,correct name,,P2,,,
"""Leptospira icteroides"" Noguchi 1919",,not validly published,,,,,,
Leptospira idonii Saito et al. 2013,DSM 26084; Eri-1; JCM 18486,validly published,correct name,,S2,,,
Leptospira ilyithenensis Vincent et al. 2020,201 400 974; CIP 111760; DSM 108517; KIT0274,validly published,correct name,,S2,,,
Leptospira inadai Yasuda et al. 1987,10; ATCC 43289; DSM 22304; LYME,validly published,correct name,,P2,,,
Leptospira interrogans (Stimson 1907) Wenyon 1926 (Approved Lists 1980),"ATCC 43642; DSM 21525; icterohaemorrhagiae RGA; Leptospira interrogans serogroup Icterohaemorrhagiae, serovar Icterohaemorrhagiae, strain RGA; RGA",validly published,correct name,,P1,,,
Leptospira jelokensis Vincent et al. 2020,CIP 111759; DSM 108408; KIT0283; L5S1,validly published,correct name,,S1,,,
Leptospira johnsonii Masuzawa et al. 2019,CIP 111620; E8; JCM 32515,validly published,correct name,,P2,,,
Leptospira kanakyensis Vincent et al. 2020,CIP 111778; DSM 110360; KIT0289; KT5-11,validly published,correct name,,S1,,,
Leptospira kemamanensis Vincent et al. 2020,CIP 111810; DSM 108407; KIT0282; LIMR131,validly published,correct name,,S1,,,
Leptospira kirschneri Ramadass et al. 1992,3522 C; ATCC 49945; DSM 21526; serovar Cynopteri strain 3522C,validly published,correct name,,P1,,,
Leptospira kmetyi Slack et al. 2009,Bejo-Iso9; KIT Bejo-Iso9; WHO LT1101,validly published,correct name,,P1,,,
Leptospira kobayashii Vincent et al. 2020,CIP 111619; E30; JCM 32517,validly published,correct name,,S2,,,
Leptospira koniambonensis corrig. Vincent et al. 2020,CIP 111777; DSM 110356; KIT0267; TK1-4,validly published,correct name,,P2,,,
Leptospira langatensis Vincent et al. 2020,CIP 111753; DSM 108342; KIT0262; SSW18,validly published,correct name,,P2,,,
Leptospira levettii Thibeaux et al. 2020,CIP 111807; DSM 110485; KIT0293; MCA2-­B-­A1,validly published,correct name,,S1,,,
Leptospira licerasiae Matthias et al. 2009,ATCC BAA-1110; KIT VAR 010; VAR 10; WPR VAR 010,validly published,correct name,,P2,,,
"Leptospira macculloughii"" Thibeaux et al. 2018",ATI2-C-A1,not validly published,,,,,,
Leptospira mayottensis Bourhy et al. 2014,200901116; CIP 110703; DSM 28999,validly published,correct name,,P1,,,
Leptospira meyeri Yasuda et al. 1987,ATCC 43287; DSM 21537; Iowa City Frog,validly published,correct name,,S1,,,
Leptospira montravelensis Vincent et al. 2020,CIP 111806; DSM 110361; KIT0290; PZF5-3,validly published,correct name,,S1,,,
Leptospira mtsangambouensis Vincent et al. 2020,CIP 111779; DSM 110484; KIT0287; M2A,validly published,correct name,,S1,,,
Leptospira neocaledonica Thibeaux et al. 2020,CIP 111776; DSM 110364; ES4-­C-­A1; KIT0268,validly published,correct name,,P2,,,
Leptospira noguchii Yasuda et al. 1987,ATCC 43288; CZ 214; CZ 214 K; DSM 21520,validly published,correct name,,P1,,,
Leptospira noumeaensis Vincent et al. 2020,CIP 111783; DSM 110448; KIT0291; PZF14-4,validly published,correct name,,S1,,,
Leptospira ognonensis Vincent et al. 2020,201 702 476; CIP 111805; DSM 110445; KIT0275,validly published,correct name,,S2,,,
Turneriella Leptospira parva Hovind-Hougen et al. 1982,ATCC BAA-1111; DSM 21527; H; NCTC 11395,validly published,synonym,,,,,
Leptospira perdikensis Vincent et al. 2020,CIP 111756; DSM 108410; HP2; KIT0285,validly published,correct name,,S1,,,
Leptospira perolatii Thibeaux et al. 2020,CIP 111868; FH1-­B-­B1; KIT0272,validly published,correct name,,P2,,,
Leptospira putramalaysiae Vincent et al. 2020,CIP 111758; DSM 108518; KIT0276; SSW20,validly published,correct name,,,Now L. stimsonii per Casanovas-Massana 2021,,
Leptospira ryugenii Masuzawa et al. 2019,CIP 111617; JCM 32518; YH101,validly published,correct name,,S2,,,
Leptospira saintgironsiae Thibeaux et al. 2020,CIP 111804; DSM 110357; FH4-­C-­A2; KIT0271,validly published,correct name,,P2,,,
Leptospira santarosai Yasuda et al. 1987,ATCC 43286; DSM 21524; LT 821,validly published,correct name,,P1,,,
Leptospira sarikeiensis Vincent et al. 2020,CIP 111755; DSM 108341; KIT0261; LIMR175,validly published,correct name,,P2,,,
Leptospira selangorensis Vincent et al. 2020,CIP 111754; DSM 108340; KIT0260; SSW17,validly published,correct name,,P2,,,
Leptospira semungkisensis Vincent et al. 2020,CIP 111784; KIT0263; SSS9,validly published,correct name,,P2,,,
Leptospira stimsonii Casanovas-Massana et al. 2020,ATCC-TDS- 162; CLEP00288; KIT0258; Yale,validly published,correct name,,P1,,,
Leptospira terpstrae Smythe et al. 2013,ATCC 700639; DSM 21521; LT 11-33; serovar Hualin,validly published,correct name,,S1,,,
Leptospira tipperaryensis Vincent et al. 2020,CIP 111785; GWTS#1; KIT0296,validly published,correct name,,P1,,,
Leptospira vanthielii Smythe et al. 2013,ATCC 700522; serovar Holland; WaZ Holland,validly published,correct name,,S1,,,
Leptospira venezuelensis Puche et al. 2018,CIP 111407; CLM-U50; DSM 105752,validly published,correct name,,P2,,,
Leptospira weilii Yasuda et al. 1987,ATCC 43285; Celledoni; DSM 22357,validly published,correct name,,P1,,,
Leptospira wolbachii Yasuda et al. 1987,ATCC 43284; CDC; DSM 21523,validly published,correct name,,S1,,,
Leptospira wolffii Slack et al. 2008,Khorat-H2; KIT Khorat-H2; WHO LT1686,validly published,correct name,,P2,,,
Leptospira yanagawae Smythe et al. 2013,ATCC 700523; DSM 21522; Sao Paulo; serovar Saopaulo,validly published,correct name,,S1,,,
Leptospira yasudae Casanovas-Massana et al. 2020,ATCC-TSD-163; CLEP00287; F1; KIT0259,validly published,correct name,,P1,,,
